COMMUNITY RESILIENCE-new-results,Count COMMUNITY RESILIENCE-results
Climate_change,75
Pandemic,39
Social_capital,36
Risk_management,29
United_States,23
Mental_health,22
Public_health,20
Community,15
Basel_problem,14
Disaster_risk_reduction,14
Drought,14
Risk_perception,14
Sustainability,14
Australia,13
Bangladesh,13
Wildfire,13
Empirical_evidence,12
Flood,12
Infrastructure,12
Probability,12
Ecosystem,11
Emergency_management,11
Los_Angeles,11
Perception,11
New_Zealand,10
Social_media,10
Tsunami,10
Climate_resilience,9
Ecological_resilience,9
Ecology,9
Knowledge,9
System,9
Adaptive_capacity,8
Concept,8
Engineering,8
Natural_disaster,8
Risk,8
Scotland,8
Coastal_hazards,7
Distributed_generation,7
Earthquake,7
Methodology,7
Qualitative_research,7
Social_psychology,7
Systematic_review,7
Urbanization,7
Biodiversity,6
Carole_King,6
Case_study,6
Causality,6
China,6
Coronavirus,6
Cross-sectional_study,6
Culture,6
Marine_biology,6
Place_attachment,6
Society,6
Sustainable_development,6
Tornado,6
Tropical_cyclone,6
Urban_planning,6
Urban_resilience,6
Citizen_science,5
Correlation_and_dependence,5
Disaster_recovery,5
Family_resilience,5
Ghana,5
Global_warming,5
Hurricane_Katrina,5
Interdisciplinarity,5
Israel,5
Kerala,5
Louisiana,5
Minority_stress,5
Observational_learning,5
Plant_community,5
Psychological_resilience,5
Sea_level_rise,5
Social_network,5
Social_science,5
Theory,5
Traditional_knowledge,5
Twitter,5
2015_in_Nepal,4
Adverse_Childhood_Experiences_Study,4
Agent-based_model,4
Alaska,4
Anxiety,4
Bayesian_network,4
Christchurch,4
Climate,4
Communication,4
Conceptual_model,4
Coral_reef,4
Corporate_social_responsibility,4
Decision-making,4
Demography,4
Emergence,4
Fishery,4
Food_security,4
Hurricane_Sandy,4
Indonesia,4
Invertebrate,4
Microorganism,4
Norm_(social),4
Photovoice,4
Psychometrics,4
Public_Health_Emergency_Preparedness,4
Queensland,4
Refugee,4
Simulation,4
Social_change,4
Social_vulnerability,4
Sundarbans,4
Taiwan,4
The_Power_(Snap!_song),4
Value_(ethics),4
Water_security,4
Adaptation_to_global_warming,3
Agriculture,3
Anaerobic_digestion,3
Antibiotics,3
Blue_Mountains_(New_South_Wales),3
Bushfires_in_Australia,3
Business_continuity_planning,3
Canada,3
Centers_for_Disease_Control_and_Prevention,3
Complex_systems,3
Computer_simulation,3
Coral,3
Disaster_informatics,3
Ebola_virus_disease,3
Electricity,3
Energy_development,3
England,3
Evolution,3
Exogeny,3
Federal_Emergency_Management_Agency,3
Filipinos,3
Florida,3
Globalization,3
Gross_domestic_product,3
Groundwater,3
Group_cohesiveness,3
Habitat,3
Higher_education,3
Individual,3
Italy,3
